TA2014,TA2014_NAM,age,male,female
TA1,Far North District,0-4,1173,1158
TA1,Far North District,5-9,1215,1197
TA1,Far North District,10-14,1299,1170
TA1,Far North District,15-19,957,945
TA1,Far North District,20-24,603,663
TA1,Far North District,25-29,441,603
TA1,Far North District,30-34,411,561
TA1,Far North District,35-39,513,678
TA1,Far North District,40-44,597,714
TA1,Far North District,45-49,684,816
TA1,Far North District,50-54,696,822
TA1,Far North District,55-59,573,660
TA1,Far North District,60-64,405,558
TA1,Far North District,65-69,330,405
TA1,Far North District,70-74,273,306
TA1,Far North District,75-79,168,210
TA1,Far North District,80-84,81,111
TA1,Far North District,85+,33,78
TA2,Whangarei District,0-4,1179,1164
TA2,Whangarei District,5-9,1125,1050
TA2,Whangarei District,10-14,1074,954
TA2,Whangarei District,15-19,912,843
TA2,Whangarei District,20-24,612,726
TA2,Whangarei District,25-29,495,642
TA2,Whangarei District,30-34,429,558
TA2,Whangarei District,35-39,453,594
TA2,Whangarei District,40-44,528,627
TA2,Whangarei District,45-49,519,585
TA2,Whangarei District,50-54,501,624
TA2,Whangarei District,55-59,363,438
TA2,Whangarei District,60-64,264,315
TA2,Whangarei District,65-69,192,246
TA2,Whangarei District,70-74,144,192
TA2,Whangarei District,75-79,87,132
TA2,Whangarei District,80-84,45,66
TA2,Whangarei District,85+,15,27
TA3,Kaipara District,0-4,258,213
TA3,Kaipara District,5-9,201,231
TA3,Kaipara District,10-14,228,249
TA3,Kaipara District,15-19,195,183
TA3,Kaipara District,20-24,120,129
TA3,Kaipara District,25-29,99,108
TA3,Kaipara District,30-34,93,129
TA3,Kaipara District,35-39,90,135
TA3,Kaipara District,40-44,105,123
TA3,Kaipara District,45-49,111,135
TA3,Kaipara District,50-54,123,144
TA3,Kaipara District,55-59,96,120
TA3,Kaipara District,60-64,84,93
TA3,Kaipara District,65-69,60,54
TA3,Kaipara District,70-74,48,45
TA3,Kaipara District,75-79,15,33
TA3,Kaipara District,80-84,12,21
TA3,Kaipara District,85+,6,12
TA11,Thames-Coromandel District,0-4,237,216
TA11,Thames-Coromandel District,5-9,219,234
TA11,Thames-Coromandel District,10-14,231,225
TA11,Thames-Coromandel District,15-19,198,168
TA11,Thames-Coromandel District,20-24,114,117
TA11,Thames-Coromandel District,25-29,90,102
TA11,Thames-Coromandel District,30-34,78,96
TA11,Thames-Coromandel District,35-39,105,129
TA11,Thames-Coromandel District,40-44,141,147
TA11,Thames-Coromandel District,45-49,114,138
TA11,Thames-Coromandel District,50-54,114,132
TA11,Thames-Coromandel District,55-59,120,111
TA11,Thames-Coromandel District,60-64,93,111
TA11,Thames-Coromandel District,65-69,60,78
TA11,Thames-Coromandel District,70-74,48,48
TA11,Thames-Coromandel District,75-79,27,39
TA11,Thames-Coromandel District,80-84,21,24
TA11,Thames-Coromandel District,85+,9,15
TA12,Hauraki District,0-4,225,264
TA12,Hauraki District,5-9,210,177
TA12,Hauraki District,10-14,207,186
TA12,Hauraki District,15-19,159,165
TA12,Hauraki District,20-24,108,132
TA12,Hauraki District,25-29,81,111
TA12,Hauraki District,30-34,75,93
TA12,Hauraki District,35-39,84,99
TA12,Hauraki District,40-44,93,120
TA12,Hauraki District,45-49,90,129
TA12,Hauraki District,50-54,117,108
TA12,Hauraki District,55-59,81,102
TA12,Hauraki District,60-64,60,72
TA12,Hauraki District,65-69,51,42
TA12,Hauraki District,70-74,45,33
TA12,Hauraki District,75-79,15,21
TA12,Hauraki District,80-84,12,12
TA12,Hauraki District,85+,6,9
TA13,Waikato District,0-4,864,786
TA13,Waikato District,5-9,873,867
TA13,Waikato District,10-14,891,762
TA13,Waikato District,15-19,630,636
TA13,Waikato District,20-24,501,498
TA13,Waikato District,25-29,408,432
TA13,Waikato District,30-34,378,450
TA13,Waikato District,35-39,408,489
TA13,Waikato District,40-44,435,513
TA13,Waikato District,45-49,393,462
TA13,Waikato District,50-54,381,447
TA13,Waikato District,55-59,321,351
TA13,Waikato District,60-64,222,246
TA13,Waikato District,65-69,168,168
TA13,Waikato District,70-74,87,111
TA13,Waikato District,75-79,45,60
TA13,Waikato District,80-84,30,48
TA13,Waikato District,85+,12,21
TA15,Matamata-Piako District,0-4,321,285
TA15,Matamata-Piako District,5-9,270,279
TA15,Matamata-Piako District,10-14,273,237
TA15,Matamata-Piako District,15-19,237,207
TA15,Matamata-Piako District,20-24,195,174
TA15,Matamata-Piako District,25-29,114,138
TA15,Matamata-Piako District,30-34,129,135
TA15,Matamata-Piako District,35-39,111,132
TA15,Matamata-Piako District,40-44,129,150
TA15,Matamata-Piako District,45-49,111,117
TA15,Matamata-Piako District,50-54,84,123
TA15,Matamata-Piako District,55-59,87,96
TA15,Matamata-Piako District,60-64,57,81
TA15,Matamata-Piako District,65-69,45,42
TA15,Matamata-Piako District,70-74,30,39
TA15,Matamata-Piako District,75-79,18,12
TA15,Matamata-Piako District,80-84,9,9
TA15,Matamata-Piako District,85+,3,6
TA16,Hamilton City,0-4,1845,1725
TA16,Hamilton City,5-9,1578,1557
TA16,Hamilton City,10-14,1482,1464
TA16,Hamilton City,15-19,1524,1587
TA16,Hamilton City,20-24,1365,1647
TA16,Hamilton City,25-29,993,1188
TA16,Hamilton City,30-34,804,1017
TA16,Hamilton City,35-39,834,936
TA16,Hamilton City,40-44,720,897
TA16,Hamilton City,45-49,654,786
TA16,Hamilton City,50-54,552,720
TA16,Hamilton City,55-59,414,522
TA16,Hamilton City,60-64,339,369
TA16,Hamilton City,65-69,204,243
TA16,Hamilton City,70-74,159,171
TA16,Hamilton City,75-79,69,90
TA16,Hamilton City,80-84,33,69
TA16,Hamilton City,85+,15,30
TA17,Waipa District,0-4,366,333
TA17,Waipa District,5-9,378,309
TA17,Waipa District,10-14,351,363
TA17,Waipa District,15-19,306,291
TA17,Waipa District,20-24,222,216
TA17,Waipa District,25-29,159,186
TA17,Waipa District,30-34,171,177
TA17,Waipa District,35-39,132,210
TA17,Waipa District,40-44,177,207
TA17,Waipa District,45-49,144,177
TA17,Waipa District,50-54,183,198
TA17,Waipa District,55-59,132,189
TA17,Waipa District,60-64,93,96
TA17,Waipa District,65-69,72,72
TA17,Waipa District,70-74,39,54
TA17,Waipa District,75-79,21,30
TA17,Waipa District,80-84,18,30
TA17,Waipa District,85+,3,9
TA18,Otorohanga District,0-4,132,147
TA18,Otorohanga District,5-9,117,126
TA18,Otorohanga District,10-14,126,114
TA18,Otorohanga District,15-19,117,90
TA18,Otorohanga District,20-24,102,84
TA18,Otorohanga District,25-29,75,75
